b4122, fumB, (Fnr | !Crp | DcuR | !NarL)
b4123, dcuB, ((CRP_noMAN & Fnr & DcuR) & !NarL)
b4124, dcuR, DcuS
b4125, dcuS, (M_succ_e | M_asp__L_e | M_fum_e | M_mal__L_e)
b4131, cadA, (ArcA | CadC)
b4132, cadB, (ArcA | CadC)
b4133, cadC, M_lys__L_e
b4139, aspA, ((Crp & !Fnr) | Fnr)
b4151, frdD, (Fnr | DcuR | !NarL)
b4152, frdC, (Fnr | DcuR | !NarL)
b4153, frdB, (Fnr | DcuR | !NarL)
b4154, frdA, (Fnr | DcuR | !NarL)
b4177, purA, (!PurR | RpoE) 
b4238, nrdD, Fnr
b4239, treC, ((!TreR & Crp) | !TreR)
b4240, treB, ((!TreR & Crp) | !TreR)
b4241, treR, !M_tre_e
b4244, pyrI, !(M_ura_e | M_gua_e)
b4245, pyrB, !(M_ura_e | M_gua_e)
b4254, argI, !ArgR
b4264, idnR, (M_idon__L_e | M_5dglcn_e)
b4265, idnT, IdnR
b4266, idnO, IdnR
b4267, idnD, IdnR
b4321, gntP, (Crp & !M_glcn_e)
b4322, uxuA, (!ExuR & !UxuR)
b4323, uxuB, (!ExuR & !UxuR)
b4324, uxuR, (![R_MANAO > 0] & ![R_GUI1 > 0] & ![R_MANAO < 0] & ![R_GUI1 < 0])
b4381, deoC, (!DeoR | (!DeoR & Crp & !CytR))
b4382, deoA, (!(DeoR | CytR) & Crp)
b4383, deoB, (!DeoR | (!DeoR & Crp & !CytR) | M_ins_e | M_gua_e)
b4384, deoD, (!DeoR | (!DeoR & !CytR) | M_ins_e | M_gua_e)
b4390, nadR, "high NAD"
b4393, trpR, M_trp__L_e
b4396, rob, "dipyridyl"
b4401, arcA, !M_o2_e
CRP_GLCN, CRP_GLCN, M_glcn_e
CRP_noARAB, CRP_noARAB, !(M_glcn_e | M_glc__D_e | M_arab__L_e)
